Date,Avg_Daily_PnL,Total_Daily_PnL,Median_Daily_PnL,Avg_VW_PnL,StdDev_Daily_PnL,Avg_Daily_Leverage,Total_Daily_Volume,Avg_Daily_Volume,Trade_Count,Market_Sentiment
2023-03-28,0.0,0.0,0.0,0.0,0.0,1.0,477.0,159.0,3,Greed
2023-11-14,0.1488070401913875,155.50335699999994,0.0,-96612913.35915758,105.09211259633247,1.0,11555429.76,11057.8275215311,1045,Greed
2024-03-09,25.418772159436944,176965.491774,0.0,-1587164175.8804388,306.1669373872389,1.0,39406770.25,5660.265764148233,6962,Extreme Greed
2024-07-03,22.229712656210616,158742.378078,0.0,-5504124988.972514,633.7048150995175,1.0,21843234.35,3058.8481095084726,7141,Neutral
2024-10-27,90.50427150248291,3189461.032019,0.0,-45890653800.53202,1165.0525484112816,1.0,103947765.09,2949.6258644760364,35241,Greed
2025-02-19,50.047621894017375,6699925.190574,0.0,738242431524.4353,909.121795680177,1.0,704158492.98,5259.977836723413,133871,Fear
